date,tavg,tmax,tmin
1915,15.87792835,21.99660575,9.75925096
1916,15.33724819,21.89237471,8.78212167
1917,15.9840831,23.30659227,8.661573925
1918,15.6915539,22.50008072,8.883027074
1919,15.27785075,22.07907573,8.476625765
1920,15.21377833,21.97528481,8.452271853
1921,16.00931645,22.64821567,9.370417238
1922,15.34039017,21.59529974,9.085480601
1923,15.74144618,22.31371973,9.16917263
1924,15.67387376,22.45371263,8.89403489
1925,15.6983713,21.87351392,9.523228676
1926,16.75211454,23.33283475,10.17139432
1927,15.80469275,22.27734441,9.332041088
1928,15.97705398,22.76577912,9.18832883
1929,15.80299654,22.97932635,8.626666725
1930,15.63801326,22.70035493,8.575671598
1931,16.57514217,23.57625675,9.574027588
1932,15.98810913,23.09489285,8.881325404
1933,15.68652891,22.54917278,8.823885041
1934,17.28358077,24.27846518,10.28869636
1935,15.78457349,22.64194645,8.92720052
1936,16.90478429,24.05894673,9.750621847
1937,16.05848327,22.82188102,9.295085512
1938,15.81751804,22.31539642,9.319639654
1939,16.65574533,24.19026798,9.121222684
1940,16.67477997,23.13500608,10.21455385
1941,16.27355595,22.46786573,10.07924616
1942,15.6264982,22.37319911,8.879797288
1943,16.09046273,23.2216527,8.959272764
1944,15.63080557,22.62061648,8.640994655
1945,15.93561989,22.86642096,9.00481881
1946,15.28145715,22.35193792,8.210976374
1947,15.81684927,22.82600477,8.807693757
1948,14.68225325,21.73168373,7.632822766
1949,15.27430763,22.48875147,8.059863799
1950,16.32331658,23.61203587,9.034597289
1951,15.79219755,23.36903649,8.215358612
1952,15.77717724,22.83600641,8.718348076
1953,15.86277187,23.01141491,8.714128832
1954,15.43146663,22.24114831,8.621784938
1955,15.47661204,22.77643419,8.176789877
1956,15.66823782,22.8770549,8.459420751
1957,15.98763146,22.50909707,9.466165843
1958,16.93669816,23.74499648,10.12839983
1959,16.88230284,24.30995584,9.454649836
1960,16.01668376,23.36582721,8.667540306
1961,15.62167825,23.00773636,8.235620136
1962,15.15398626,22.47839629,7.829576232
1963,14.97237468,21.53708134,8.407668013
1964,15.88792821,23.06778938,8.70806705
1965,15.66311062,22.3293739,8.996847345
1966,16.69519202,23.85072473,9.539659314
1967,16.10019377,23.12013203,9.08025551
1968,16.16712081,23.10733661,9.226905012
1969,16.2350204,23.18895907,9.28108172
1970,16.71709024,23.69094065,9.743239826
1971,15.63321841,22.67663224,8.589804585
1972,15.93197053,22.6844583,9.179482761
1973,16.49971796,23.12504677,9.87438915
1974,16.35318514,23.33237433,9.373995957
1975,16.38022608,23.1435004,9.61695176
1976,17.32215614,24.69187971,9.952432583
1977,16.15360902,22.98501258,9.322205453
1978,16.29054905,22.86310263,9.717995461
1979,16.49283555,23.33657017,9.649100921
1980,16.05834015,22.82643165,9.290248646
1981,17.007682,23.7443356,10.27102841
1982,15.10611113,21.35360208,8.858620191
1983,16.6820381,22.66450715,10.69956906
1984,17.09333491,24.02996681,10.15670301
1985,15.82858852,22.82302965,8.834147396
1986,16.95224403,23.97984077,9.924647287
1987,16.75900227,23.99021538,9.527789171
1988,17.25872087,24.79759708,9.719844658
1989,16.19426363,23.45321299,8.93531426
1990,16.90493767,24.47857488,9.33130046
1991,16.85442745,24.20143161,9.507423278
1992,17.28028591,24.16915398,10.39141784
1993,16.48390321,23.19281654,9.774989879
1994,16.34947688,23.50097111,9.197982658
1995,17.18321273,23.77252664,10.59389881
1996,17.75010658,24.69870393,10.80150922
1997,17.86533173,24.92572998,10.80493349
1998,16.08544993,22.20232492,9.968574954
1999,15.91215124,23.0677308,8.756571685
2000,16.4623528,23.2655014,9.659204197
2001,17.03006217,24.08506917,9.975055177
2002,16.59511701,23.908364,9.281870013
2003,17.03519963,23.87022179,10.20017748
2004,16.98219059,23.73891796,10.22546321
2005,16.81164686,23.51124161,10.11205211
2006,16.45859017,23.24350159,9.673678745
2007,16.52066494,23.82728652,9.214043368
2008,16.55077005,23.76932543,9.332214676
2009,16.61648691,23.74316345,9.489810375
2010,16.35141619,22.94226018,9.760572189
2011,16.12464747,23.39018695,8.859107978
